species,nt,ntp1,oviposition_days,chaff_presence,temp,rh,exp_name,output_eggs
A,82,245,7.08333,0,31,70,castaneum_chaos,NA
A,4,273,7.08333,0,31,70,castaneum_chaos,NA
A,28,290,7.08333,0,31,70,castaneum_chaos,NA
A,22,351,7.08333,0,31,70,castaneum_chaos,NA
A,50,338,7.08333,0,31,70,castaneum_chaos,NA
A,9,288,7.08333,0,31,70,castaneum_chaos,NA
A,68,249,7.08333,0,31,70,castaneum_chaos,NA
A,82,298,7.08333,0,31,70,castaneum_chaos,NA
A,20,338,7.08333,0,31,70,castaneum_chaos,NA
A,20,322,7.08333,0,31,70,castaneum_chaos,NA
A,60,335,7.08333,0,31,70,castaneum_chaos,NA
A,22,306,7.08333,0,31,70,castaneum_chaos,NA
A,24,342,7.08333,0,31,70,castaneum_chaos,NA
A,30,360,7.08333,0,31,70,castaneum_chaos,NA
A,12,329,7.08333,0,31,70,castaneum_chaos,NA
A,50,341,7.08333,0,31,70,castaneum_chaos,NA
A,13,399,7.08333,0,31,70,castaneum_chaos,NA
A,32,296,7.08333,0,31,70,castaneum_chaos,NA
A,52,267,7.08333,0,31,70,castaneum_chaos,NA
A,6,223,7.08333,0,31,70,castaneum_chaos,NA
A,14,280,7.08333,0,31,70,castaneum_chaos,NA
A,66,312,7.08333,0,31,70,castaneum_chaos,NA
A,6,262,7.08333,0,31,70,castaneum_chaos,NA
A,15,286,7.08333,0,31,70,castaneum_chaos,NA
A,20,290,7.08333,0,31,70,castaneum_chaos,NA
A,64,269,7.08333,0,31,70,castaneum_chaos,NA
A,18,220,7.08333,0,31,70,castaneum_chaos,NA
A,56,262,7.08333,0,31,70,castaneum_chaos,NA
A,58,248,7.08333,0,31,70,castaneum_chaos,NA
A,26,286,7.08333,0,31,70,castaneum_chaos,NA
A,20,343,7.08333,0,31,70,castaneum_chaos,NA
A,46,265,7.08333,0,31,70,castaneum_chaos,NA
A,86,280,7.08333,0,31,70,castaneum_chaos,NA
A,46,305,7.08333,0,31,70,castaneum_chaos,NA
A,26,275,7.08333,0,31,70,castaneum_chaos,NA
A,72,277,7.08333,0,31,70,castaneum_chaos,NA
A,13,302,7.08333,0,31,70,castaneum_chaos,NA
A,4,204,7.08333,0,31,70,castaneum_chaos,NA
A,14,237,7.08333,0,31,70,castaneum_chaos,NA
A,15,239,7.08333,0,31,70,castaneum_chaos,NA
A,22,300,7.08333,0,31,70,castaneum_chaos,NA
A,60,270,7.08333,0,31,70,castaneum_chaos,NA
A,82,327,7.08333,0,31,70,castaneum_chaos,NA
A,17,303,7.08333,0,31,70,castaneum_chaos,NA
A,58,243,7.08333,0,31,70,castaneum_chaos,NA
A,34,324,7.08333,0,31,70,castaneum_chaos,NA
A,8,348,7.08333,0,31,70,castaneum_chaos,NA
A,15,268,7.08333,0,31,70,castaneum_chaos,NA
A,7,213,7.08333,0,31,70,castaneum_chaos,NA
A,86,267,7.08333,0,31,70,castaneum_chaos,NA
A,11,270,7.08333,0,31,70,castaneum_chaos,NA
A,26,292,7.08333,0,31,70,castaneum_chaos,NA
A,84,296,7.08333,0,31,70,castaneum_chaos,NA
A,70,268,7.08333,0,31,70,castaneum_chaos,NA
A,50,287,7.08333,0,31,70,castaneum_chaos,NA
A,64,237,7.08333,0,31,70,castaneum_chaos,NA
A,22,317,7.08333,0,31,70,castaneum_chaos,NA
A,7,209,7.08333,0,31,70,castaneum_chaos,NA
A,36,296,7.08333,0,31,70,castaneum_chaos,NA
A,20,302,7.08333,0,31,70,castaneum_chaos,NA
A,54,260,7.08333,0,31,70,castaneum_chaos,NA
A,48,340,7.08333,0,31,70,castaneum_chaos,NA
A,58,296,7.08333,0,31,70,castaneum_chaos,NA
A,7,100,7.08333,0,31,70,castaneum_chaos,NA
A,58,284,7.08333,0,31,70,castaneum_chaos,NA
A,20,300,7.08333,0,31,70,castaneum_chaos,NA
A,28,296,7.08333,0,31,70,castaneum_chaos,NA
A,32,319,7.08333,0,31,70,castaneum_chaos,NA
A,30,292,7.08333,0,31,70,castaneum_chaos,NA
A,30,314,7.08333,0,31,70,castaneum_chaos,NA
A,34,309,7.08333,0,31,70,castaneum_chaos,NA
A,19,294,7.08333,0,31,70,castaneum_chaos,NA
A,72,306,7.08333,0,31,70,castaneum_chaos,NA
A,28,321,7.08333,0,31,70,castaneum_chaos,NA
A,34,323,7.08333,0,31,70,castaneum_chaos,NA
A,16,281,7.08333,0,31,70,castaneum_chaos,NA
